dataset,exp,representation,src,tgt,epoch,acc,mf1,mrr,map,a10,char_erate,ins_erate,del_erate,sub_erate,vow_erate,cons_erate,vow_frac,cons_frac,oth_frac,vow_ecount,cons_ecount,oth_ecount,all_ecount
slavic_latin-ar,2_multilingual,onehot_shared,cs,ar,31,0.591734,0.864568,0.618246,0.591734,0.65625,0.170524942941,0.0518421910662,0.0409194652755,0.0777632865993,,,,,,,,,
slavic_latin-ar,2_multilingual,onehot_shared,pl,ar,34,0.448345,0.831683,0.476864,0.448345,0.522568,0.216489950942,0.0634594081342,0.0553885108403,0.0976420319671,,,,,,,,,
slavic_latin-ar,2_multilingual,onehot_shared,sk,ar,29,0.622087,0.895529,0.649105,0.622087,0.688956,0.142531727953,0.0491376505044,0.0327041978523,0.0606898795965,,,,,,,,,
slavic_latin-ar,2_multilingual,onehot_shared,sl,ar,35,0.620445,0.889577,0.654572,0.620445,0.705466,0.147787186452,0.0452148905576,0.0308355967407,0.0717366991532,,,,,,,,,
slavic_latin-ar,2_bilingual,onehot,cs,ar,13,0.370968,0.819465,0.401411,0.370968,0.444556,0.23358244554,0.0752106853236,0.0577198282716,0.100651931945,,,,,,,,,
slavic_latin-ar,2_bilingual,onehot,pl,ar,7,0.348044,0.812508,0.408074,0.348044,0.498495,0.242471524419,0.0766110157591,0.0600717740677,0.105788734592,,,,,,,,,
slavic_latin-ar,2_bilingual,onehot,sk,ar,10,0.374873,0.829256,0.390054,0.374873,0.416413,0.228530984586,0.0808430324001,0.0508021390374,0.0968858131488,,,,,,,,,
slavic_latin-ar,2_bilingual,onehot,sl,ar,9,0.367409,0.834878,0.421255,0.367409,0.512146,0.222515118623,0.0733447046054,0.0539618545511,0.0952085594666,,,,,,,,,
news_2015_official,2_multilingual,onehot_shared,en,hi,23,0.607,0.915596,0.658867,0.607028,0.737,0.122663551402,0.0293724966622,0.0317089452603,0.0615821094793,0.200103412616,0.0590841949778,0.526530612245,0.272108843537,0.201360544218,387.0,200.0,148.0,735.0
news_2015_official,2_multilingual,onehot_shared,en,bn,22,0.461,0.891409,0.55205,0.46075,0.687,0.147953382604,0.0382319499716,0.042922114838,0.0667993177942,0.220226474034,0.0785231409256,0.541786743516,0.290105667627,0.168107588857,564.0,302.0,175.0,1041.0
news_2015_official,2_multilingual,onehot_shared,en,ta,26,0.553,0.905056,0.6129,0.55275,0.697,0.122074992952,0.0256554835072,0.0321398364815,0.0642796729631,0.198792148968,0.0905125408942,0.456120092379,0.38337182448,0.160508083141,395.0,332.0,139.0,866.0
news_2015_official,2_multilingual,onehot_shared,en,kn,40,0.539,0.902134,0.590275,0.539278,0.669,0.126392395663,0.0389128174662,0.0291103519976,0.0583692261993,0.219640971489,0.068564787914,0.48883666275,0.27732079906,0.23384253819,416.0,236.0,199.0,851.0
news_2015_official,7_multilingual,onehot_shared,en,hi,32,0.616,0.915344,0.67725,0.614361,0.768,,,,,,,,,,,,,
news_2015_official,7_multilingual,onehot_shared,en,bn,14,0.441,0.887213,0.51405,0.43925,0.627,,,,,,,,,,,,,
news_2015_official,7_multilingual,onehot_shared,en,ta,20,0.529,0.897671,0.602508,0.5285,0.712,,,,,,,,,,,,,
news_2015_official,7_multilingual,onehot_shared,en,kn,28,0.543,0.902793,0.620783,0.5425,0.735,,,,,,,,,,,,,
news_2015_official,3_multilingual_prefix_tgt,onehot_shared,en,hi,30,0.56,0.904186,0.6076,0.561139,0.68,,,,,,,,,,,,,
news_2015_official,3_multilingual_prefix_tgt,onehot_shared,en,bn,6,0.41,0.871778,0.49625,0.409111,0.633,,,,,,,,,,,,,
news_2015_official,3_multilingual_prefix_tgt,onehot_shared,en,ta,36,0.53,0.896996,0.565517,0.53,0.62,,,,,,,,,,,,,
